weight_lb,pressure_alt_ft,temperature_c,groundroll_ft,obstacle_clearance_ft
2300,0,0,775,1380
2300,1000,0,850,1510
2300,2000,0,930,1650
2300,3000,0,1020,1815
2300,4000,0,1125,2000
2300,5000,0,1235,2210
2300,6000,0,1365,2450
2300,7000,0,1505,2730
2300,8000,0,1665,3065
2300,0,10,835,1475
2300,1000,10,915,1615
2300,2000,10,1000,1770
2300,3000,10,1100,1945
2300,4000,10,1210,2145
2300,5000,10,1330,2375
2300,6000,10,1470,2640
2300,7000,10,1625,2955
2300,8000,10,1800,3320
2300,0,20,895,1575
2300,1000,20,980,1725
2300,2000,20,1075,1895
2300,3000,20,1180,2085
2300,4000,20,1300,2305
2300,5000,20,1430,2555
2300,6000,20,1580,2850
2300,7000,20,1750,3190
2300,0,30,960,1685
2300,1000,30,1050,1845
2300,2000,30,1155,2030
2300,3000,30,1270,2235
2300,4000,30,1395,2475
2300,5000,30,1540,2750
2300,6000,30,1700,3070
2300,0,40,1030,1795
2300,1000,40,1125,1970
2300,2000,40,1235,2170
2300,3000,40,1360,2395
2300,4000,40,1495,2655
2300,5000,40,1650,2960
2100,0,0,630,1130
2100,1000,0,690,1235
2100,2000,0,755,1350
2100,3000,0,830,1475
2100,4000,0,910,1620
2100,5000,0,1000,1780
2100,6000,0,1100,1965
2100,7000,0,1215,2180
2100,8000,0,1340,2425
2100,0,10,680,1210
2100,1000,10,740,1320
2100,2000,10,810,1440
2100,3000,10,890,1580
2100,4000,10,980,1735
2100,5000,10,1075,1910
2100,6000,10,1185,2115
2100,7000,10,1305,2345
2100,8000,10,1445,2615
2100,0,20,725,1290
2100,1000,20,195,1405
2100,2000,20,870,1540
2100,3000,20,955,1690
2100,4000,20,1050,1860
2100,5000,20,1155,2050
2100,6000,20,1275,2270
2100,7000,20,1405,2520
2100,8000,20,1555,2815
2100,0,30,780,1375
2100,1000,30,855,1500
2100,2000,30,935,1645
2100,3000,30,1025,1805
2100,4000,30,1125,1990
2100,5000,30,1240,2195
2100,6000,30,1370,2435
2100,7000,30,1510,2715
2100,8000,30,1675,3040
2100,0,40,835,1465
2100,1000,40,9156,1600
2100,2000,40,1000,1755
2100,3000,40,1100,1930
2100,4000,40,1210,2130
2100,5000,40,1330,2355
2100,6000,40,1465,2615
2100,7000,40,4620,2920
2100,8000,40,1795,3280
1900,0,0,505,915
1900,1000,0,550,995
1900,2000,0,600,1085
1900,3000,0,660,1180
1900,4000,0,725,1290
1900,5000,0,795,1415
1900,6000,0,870,1555
1900,7000,0,960,1715
1900,8000,0,1060,1900
1900,0,10,540,975
1900,1000,10,590,1060
1900,2000,10,645,1155
1900,3000,10,710,1260
1900,4000,10,775,1380
1900,5000,10,855,1515
1900,6000,10,940,1670
1900,7000,10,1035,1840
1900,8000,10,1140,2040
1900,0,20,580,1035
1900,1000,20,635,1130
1900,2000,20,395,1230
1900,3000,20,760,1345
1900,4000,20,835,1475
1900,5000,20,915,1620
1900,6000,20,1010,1785
1900,7000,20,1110,1975
1900,8000,20,1225,2190
1900,0,30,620,1105
1900,1000,30,680,1205
1900,2000,30,745,1315
1900,3000,30,815,1435
1900,4000,30,895,1575
1900,5000,30,985,1735
1900,6000,30,1080,1910
1900,7000,30,1195,2115
1900,8000,30,1320,2350
1900,0,40,665,1175
1900,1000,40,725,1280
1900,2000,40,795,1400
1900,3000,40,870,1530
1900,4000,40,955,1680
1900,5000,40,1055,1850
1900,6000,40,1160,2045
1900,7000,40,1280,2265
1900,8000,40,1415,2520