code,name,lat_degrees,lat_minutes,lat_seconds,lat_direction,lon_degrees,lon_minutes,lon_seconds,lon_direction,elevation_ft,magnetic_variation,has_taf,has_metar,has_fds,hidden,status_id
CYXX,Abbotsford,49,1,31,N,122,21,36,W,194,-17,TRUE,TRUE,FALSE,FALSE,1
CYYF,Penticton,49,27,45,N,119,36,8,W,1130,-16,TRUE,TRUE,TRUE,FALSE,1
CBBC,Bella Bella,52,11,6,N,128,9,24,W,141,-19,TRUE,TRUE,FALSE,FALSE,1
CYPK,Pitt Meadows,49,12,58,N,122,42,48,W,12,-17,FALSE,TRUE,FALSE,FALSE,1
CYBD,Bella Coola,52,23,15,N,126,35,45,W,117,-19,FALSE,TRUE,FALSE,FALSE,1
CYZT,Port Hardy,50,40,50,N,127,22,0,W,71,-18,TRUE,TRUE,TRUE,FALSE,1
CYCP,Blue River,52,7,29,N,119,17,34,W,2265,-17,FALSE,TRUE,FALSE,FALSE,1
CYPW,Powell River,49,50,3,N,124,30,1,W,425,-18,FALSE,TRUE,FALSE,FALSE,1
CYBL,Campbell River,49,57,7,N,125,16,23,W,357,-18,TRUE,TRUE,FALSE,FALSE,1
CYXS,Prince George,53,53,3,N,122,40,39,W,2266,-18,TRUE,TRUE,TRUE,FALSE,1
CYCG,West Kootenay Regional,49,17,46,N,117,37,57,W,1626,-15,TRUE,TRUE,FALSE,FALSE,1
CYPR,Prince Rupert,54,17,9,N,130,26,41,W,116,-19,TRUE,TRUE,FALSE,FALSE,1
CYCQ,Chetwynd,55,41,14,N,121,37,36,W,1999,-19,FALSE,TRUE,FALSE,FALSE,1
CYDC,Princeton,49,28,4,N,120,30,45,W,2302,-16,FALSE,TRUE,FALSE,FALSE,1
CYQZ,Quesnel,53,1,34,N,122,30,37,W,1788,-17,TRUE,TRUE,FALSE,FALSE,1
CYRV,Revelstoke,50,57,44,N,118,11,4,W,1457,-16,FALSE,TRUE,FALSE,FALSE,1
CYQQ,Comox,49,42,40,N,124,53,12,W,84,-16,TRUE,TRUE,FALSE,FALSE,1
CYZP,Sandspit,53,15,15,N,131,48,50,W,21,-19,TRUE,TRUE,TRUE,FALSE,1
CYXC,Cranbrook/Canadian Rockies Intl,49,36,44,N,115,46,55,W,3084,-15,TRUE,TRUE,TRUE,FALSE,1
CYYD,Smithers,54,49,31,N,127,10,58,W,1716,-19,TRUE,TRUE,TRUE,FALSE,1
CYDQ,Dawson Creek,55,44,32,N,120,10,59,W,2147,-18,TRUE,TRUE,FALSE,FALSE,1
CYSW,Sparwood/Elk Valley,49,50,6,N,114,52,43,W,3853,-15,FALSE,FALSE,FALSE,FALSE,1
CYDL,Dease Lake,58,25,20,N,130,1,53,W,2634,-19,TRUE,TRUE,TRUE,FALSE,1
CZST,Stewart,55,56,0,N,129,59,0,W,24,-18,FALSE,TRUE,FALSE,FALSE,1
CYYE,Fort Nelson,58,50,11,N,122,35,49,W,1253,-18,TRUE,TRUE,TRUE,FALSE,1
CYXT,Terrace,54,28,7,N,128,34,42,W,713,-19,TRUE,TRUE,FALSE,FALSE,1
CYXJ,Fort ST. John,56,14,18,N,120,44,25,W,2280,-17,TRUE,TRUE,TRUE,FALSE,1
CYAZ,Tofino/Long Beach,49,4,55,N,125,46,21,W,80,-17,TRUE,TRUE,FALSE,FALSE,1
CYGE,Golden,51,17,57,N,116,58,56,W,2576,-16,FALSE,TRUE,FALSE,FALSE,1
CYHC,Vancouver Harbour (Water),49,17,40,N,123,6,41,W,0,-17,FALSE,TRUE,FALSE,FALSE,1
CYHE,Hope,49,22,6,N,121,29,53,W,128,-17,FALSE,TRUE,FALSE,FALSE,1
CYVR,Vancouver Intl,49,11,41,N,123,10,57,W,13,-17,TRUE,TRUE,TRUE,FALSE,1
CYKA,Kamloops,50,42,9,N,120,26,55,W,1133,-16,TRUE,TRUE,TRUE,FALSE,1
CZBB,Vancouver/Boundary Bay,49,4,24,N,123,0,30,W,6,-17,FALSE,TRUE,FALSE,FALSE,1
CYLW,Kelowna,49,57,26,N,119,22,41,W,1420,-16,TRUE,TRUE,FALSE,FALSE,1
CAP5,Victoria Airport (Water),48,39,13,N,123,26,57,W,0,-17,FALSE,FALSE,FALSE,FALSE,1
CYNJ,Langley Regional,49,6,3,N,122,37,51,W,34,-17,FALSE,TRUE,FALSE,FALSE,1
CYWH,Victoria Harbour (Water),48,25,22,N,123,23,15,W,0,-17,TRUE,TRUE,FALSE,FALSE,1
CYYJ,Victoria Intl,48,38,50,N,123,25,33,W,64,-17,TRUE,TRUE,FALSE,FALSE,1
CYZY,Mackenzie,55,17,58,N,123,8,0,W,2265,-17,TRUE,TRUE,FALSE,FALSE,1
CZMT,Masset,54,1,38,N,132,7,30,W,19,-19,TRUE,TRUE,FALSE,FALSE,1
CYCD,Nanaimo,49,3,16,N,123,52,12,W,92,-17,TRUE,TRUE,FALSE,FALSE,1
CYWL,Williams Lake,52,11,0,N,122,3,16,W,3088,-17,TRUE,TRUE,FALSE,FALSE,1
CYBV,Berens River,52,21,32,N,97,1,5,W,729,-4,FALSE,TRUE,FALSE,FALSE,1
CYYL,Lynn Lake,56,51,52,N,101,4,34,W,1170,-6,TRUE,TRUE,TRUE,FALSE,1
CYBR,Brandon Muni,49,54,36,N,99,57,8,W,1343,-6,TRUE,TRUE,TRUE,FALSE,1
CYLJ,Meadow Lake,54,7,31,N,108,31,22,W,1577,-12,FALSE,FALSE,FALSE,FALSE,1
CYVT,Buffalo Narrows,55,50,31,N,108,25,3,W,1423,-12,TRUE,TRUE,FALSE,FALSE,1
CYBW,Calgary/Springbank,51,6,19,N,114,22,17,W,3940,-15,TRUE,TRUE,FALSE,FALSE,1
CYXH,Medicine Hat,50,1,8,N,110,43,14,W,2351,-13,TRUE,TRUE,FALSE,FALSE,1
CYYC,Calgary Intl,51,7,21,N,114,0,48,W,3606,-15,TRUE,TRUE,TRUE,FALSE,1
CYMJ,Moose Jaw/Air Vice Marshal C.M. McEwen,50,19,49,N,105,33,33,W,1892,-9,FALSE,FALSE,FALSE,FALSE,1
CYYQ,Churchill,58,44,21,N,94,3,59,W,96,2,TRUE,TRUE,TRUE,FALSE,1
CYBU,Nipawn,53,19,57,N,104,0,32,W,1220,-9,FALSE,TRUE,FALSE,FALSE,1
CYOD,Cold Lake/Group Captain R.W. McNair,54,24,19,N,110,16,56,W,1775,-13,TRUE,TRUE,TRUE,FALSE,1
CYQW,North Battleford,52,46,9,N,108,14,40,W,1799,-12,TRUE,TRUE,FALSE,FALSE,1
CYDN,Dauphin,51,6,5,N,100,3,12,W,999,-6,TRUE,TRUE,FALSE,FALSE,1
CYNE,Norway House,53,57,30,N,97,50,39,W,734,-3,TRUE,TRUE,FALSE,FALSE,1
CYEG,Edmonton Intl,53,18,36,N,113,34,46,W,2373,-15,TRUE,TRUE,TRUE,FALSE,1
CYPE,Peace River,56,13,38,N,117,26,54,W,1872,-17,TRUE,TRUE,FALSE,FALSE,1
CZPC,Pincher Creek,49,31,14,N,113,59,46,W,3903,-14,TRUE,TRUE,FALSE,FALSE,1
CYPG,Portage La Prairie/Southport,49,54,11,N,98,16,26,W,884,-4,FALSE,FALSE,FALSE,FALSE,1
CZVL,Edmonton/Villeneuve,53,40,6,N,113,51,8,W,2256,-14,TRUE,TRUE,FALSE,FALSE,1
CYET,Edson,53,34,44,N,116,27,54,W,3043,-16,FALSE,TRUE,FALSE,FALSE,1
CYPA,Prince Albert,53,13,5,N,105,40,23,W,1405,-10,TRUE,TRUE,FALSE,FALSE,1
CYEN,Estevan Regional,49,12,37,N,102,57,57,W,1904,-8,TRUE,TRUE,FALSE,FALSE,1
CYQF,Red Deer Regional,52,11,6,N,113,53,40,W,2968,-14,TRUE,TRUE,FALSE,FALSE,1
CYFO,Flin Flon,54,40,41,N,101,40,55,W,998,-7,TRUE,FALSE,FALSE,FALSE,1
CYQR,Regina Intl,50,25,56,N,104,39,58,W,1895,-10,TRUE,TRUE,TRUE,FALSE,1
CYPY,Fort Chipewyan,58,46,3,N,111,7,3,W,761,-15,TRUE,TRUE,FALSE,FALSE,1
CYXE,Saskatoon/John G. Diefenbaker Intl,52,10,15,N,106,42,0,W,1654,-11,TRUE,TRUE,TRUE,FALSE,1
CYMM,Fort McMurray,56,39,12,N,111,13,24,W,1211,-15,TRUE,TRUE,TRUE,FALSE,1
CYZH,Slave Lake,55,17,35,N,114,46,38,W,1912,-16,TRUE,TRUE,TRUE,FALSE,1
CYGX,Gillam,56,21,28,N,94,42,39,W,476,-1,TRUE,TRUE,FALSE,FALSE,1
CYSF,Stony Rapids,59,15,1,N,105,50,29,W,801,-11,TRUE,TRUE,FALSE,FALSE,1
CYQU,Grande Prairie,55,10,55,N,118,53,14,W,2196,-18,TRUE,TRUE,FALSE,FALSE,1
CYYN,Swift Current,50,17,33,N,107,41,27,W,2681,-11,TRUE,TRUE,FALSE,FALSE,1
CYOJ,High Level,58,37,18,N,117,9,53,W,1109,-18,TRUE,TRUE,TRUE,FALSE,1
CYBQ,Tadoule Lake,58,42,22,N,98,30,44,W,922,-3,FALSE,TRUE,FALSE,FALSE,1
CYIV,Island Lake,53,51,26,N,94,39,13,W,772,0,TRUE,TRUE,FALSE,FALSE,1
CYQD,The Pas,53,58,17,N,101,5,28,W,888,-6,TRUE,TRUE,TRUE,FALSE,1
CYTH,Thompson,55,48,17,N,97,51,45,W,735,-3,TRUE,TRUE,FALSE,FALSE,1
CYKJ,Key Lake,57,15,23,N,105,37,3,W,1686,-10,TRUE,TRUE,FALSE,FALSE,1
CYZU,Whitecourt,54,8,38,N,115,47,12,W,2567,-16,TRUE,TRUE,FALSE,FALSE,1
CYKY,Kindersley Regional,51,30,55,N,109,10,50,W,2276,-12,FALSE,TRUE,FALSE,FALSE,1
CYWG,Winnipeg/James Armstrong Richardson Intl,49,54,36,N,97,14,24,W,784,-3,TRUE,TRUE,TRUE,FALSE,1
CYVC,La Ronge (Barber Field),55,9,5,N,105,16,1,W,1244,-10,TRUE,TRUE,TRUE,FALSE,1
CYAV,Winnipeg/St. Andrews,50,3,23,N,97,1,57,W,759,-4,FALSE,TRUE,FALSE,FALSE,1
CYQL,Lethbridge,49,37,49,N,112,47,59,W,3049,-14,TRUE,TRUE,TRUE,FALSE,1
CYQV,Yorkton Regional,51,15,53,N,102,27,41,W,1635,-7,TRUE,TRUE,FALSE,FALSE,1
CYLL,Lloydminster,53,18,38,N,110,4,27,W,2194,-13,TRUE,TRUE,FALSE,FALSE,1
CYYW,Armstrong,50,17,39,N,88,54,36,W,1059,4,FALSE,TRUE,TRUE,FALSE,1
CYOW,Ottawa/Macdonald-Cartier Intl,45,19,21,N,75,40,2,W,377,14,TRUE,TRUE,TRUE,FALSE,1
CYAT,Attawapiskat,52,55,39,N,82,25,55,W,30,12,TRUE,TRUE,FALSE,FALSE,1
CYPO,Peawanuck,54,59,17,N,85,26,36,W,172,10,FALSE,TRUE,FALSE,FALSE,1
CYLA,Aupaluk,59,17,48,N,69,35,59,W,121,22,FALSE,TRUE,FALSE,FALSE,1
CYBG,Bagotville,48,19,50,N,70,59,47,W,522,18,TRUE,TRUE,FALSE,FALSE,1
CYPQ,Peterborough,44,13,50,N,78,21,47,W,628,12,TRUE,TRUE,FALSE,FALSE,1
CYTL,Big Trout Lake,53,49,4,N,89,53,49,W,730,5,TRUE,TRUE,TRUE,FALSE,1
CYPL,Pickle Lake,51,26,47,N,90,12,49,W,1268,4,TRUE,TRUE,FALSE,FALSE,1
CYLD,Chapleau,47,49,13,N,83,20,49,W,1470,9,TRUE,TRUE,FALSE,FALSE,1
CYQB,Quebec/Jean Lesage Intl,46,47,28,N,71,23,36,W,244,16,TRUE,TRUE,TRUE,FALSE,1
CYCK,Chatham-Kent,42,18,22,N,82,4,54,W,645,8,FALSE,TRUE,FALSE,FALSE,1
CYRL,Red Lake,51,4,2,N,93,47,35,W,1266,0,TRUE,TRUE,TRUE,FALSE,1
CYMT,Chibougamau/Chapais,49,46,19,N,74,31,41,W,1270,16,TRUE,TRUE,TRUE,FALSE,1
CYRJ,Roberval,48,31,12,N,72,15,57,W,586,17,TRUE,TRUE,FALSE,FALSE,1
CYRC,Chicoutimi/St-Honore,48,31,15,N,71,3,2,W,544,17,FALSE,TRUE,FALSE,FALSE,1
CYUY,Rouyn-Noranda,48,12,22,N,78,50,8,W,988,13,TRUE,TRUE,FALSE,FALSE,1
CYHD,Dryden Regional,49,49,53,N,92,44,37,W,1354,1,TRUE,TRUE,FALSE,FALSE,1
CZSJ,Sandy Lake,53,3,51,N,93,20,40,W,951,1,TRUE,TRUE,FALSE,FALSE,1
CYXR,Earlton (Timiskaming Regional),47,41,42,N,79,50,56,W,800,12,TRUE,TRUE,FALSE,FALSE,1
CYSK,Sanikiluaq,56,32,13,N,79,15,0,W,110,16,FALSE,TRUE,FALSE,FALSE,1
CZEM,Eastmain River,52,13,35,N,78,31,21,W,24,15,FALSE,TRUE,FALSE,FALSE,1
CYZR,Sarnia (Chris Hadfield),42,59,59,N,82,18,34,W,595,8,TRUE,TRUE,FALSE,FALSE,1
CYER,Fort Severn,56,1,8,N,87,40,34,W,51,8,TRUE,TRUE,FALSE,FALSE,1
CYAM,Sault Ste. Marie,46,29,6,N,84,30,34,W,632,7,TRUE,TRUE,TRUE,FALSE,1
CYGQ,Geraldton (Greenstone Regional),49,46,43,N,86,56,19,W,1143,6,TRUE,TRUE,FALSE,FALSE,1
CYKL,Schefferville,54,48,19,N,66,48,19,W,1709,20,TRUE,TRUE,TRUE,FALSE,1
CYZE,Gore Bay-Manitoulin,45,53,3,N,82,34,6,W,623,9,TRUE,TRUE,FALSE,FALSE,1
CYSC,Sherbrooke,45,26,19,N,71,41,29,W,792,17,TRUE,TRUE,TRUE,FALSE,1
CYHM,Hamilton,43,10,25,N,79,56,6,W,780,10,TRUE,TRUE,FALSE,FALSE,1
CYXL,Sioux Lookout,50,6,49,N,91,54,20,W,1257,1,TRUE,TRUE,FALSE,FALSE,1
CYPH,Inukjuak,58,28,19,N,78,4,37,W,86,17,TRUE,TRUE,TRUE,FALSE,1
CYJN,St-Jean,45,17,40,N,73,16,54,W,136,15,FALSE,TRUE,FALSE,FALSE,1
CYYU,Kapuskasing,49,24,42,N,82,28,10,W,743,10,TRUE,TRUE,TRUE,FALSE,1
CYSN,St. Catharines/Niagara District,43,11,30,N,79,10,16,W,322,11,TRUE,TRUE,FALSE,FALSE,1
CYQK,Kenora,49,47,18,N,94,21,47,W,1344,-1,TRUE,TRUE,FALSE,FALSE,1
