weight_lb,temperature_c,pressure_alt_ft,rpm,bhp_percent,ktas,gph
2300,-9,2000,2550,80,114,8.8
2300,-9,2000,2500,75,111,8.3
2300,-9,2000,2400,68,107,7.5
2300,-9,2000,2300,61,102,6.9
2300,-9,2000,2200,55,96,6.4
2300,11,2000,2550,75,113,8.2
2300,11,2000,2500,71,111,7.8
2300,11,2000,2400,64,107,7.2
2300,11,2000,2300,58,101,6.7
2300,11,2000,2200,52,95,6.2
2300,31,2000,2550,71,113,7.8
2300,31,2000,2500,67,111,7.5
2300,31,2000,2400,61,106,6.9
2300,31,2000,2300,55,99,6.5
2300,31,2000,2200,49,93,6.1
2300,-13,4000,2600,80,116,8.8
2300,-13,4000,2500,72,111,7.9
2300,-13,4000,400,65,107,7.3
2300,-13,4000,2300,58,101,6.7
2300,-13,4000,2200,52,95,6.3
2300,7,4000,2600,75,116,8.3
2300,7,4000,2500,68,111,7.5
2300,7,4000,400,61,106,6.9
2300,7,4000,2300,55,100,6.5
2300,7,4000,2200,49,93,6.1
2300,27,4000,2600,71,116,7.8
2300,27,4000,2500,64,110,7.2
2300,27,4000,400,58,104,6.7
2300,27,4000,2300,53,98,6.3
2300,27,4000,2200,47,92,5.9
2300,-17,6000,2650,80,118,8.8
2300,-17,6000,2600,76,116,8.3
2300,-17,6000,2500,69,111,7.6
2300,-17,6000,2400,62,106,7
2300,-17,6000,2300,56,100,6.5
2300,-17,6000,2200,50,94,6.1
2300,3,6000,2650,75,118,8.2
2300,3,6000,2600,71,116,7.9
2300,3,6000,2500,65,110,7.2
2300,3,6000,2400,59,104,6.7
2300,3,6000,2300,53,98,6.3
2300,3,6000,2200,47,92,5.9
2300,23,6000,2650,71,118,7.8
2300,23,6000,2600,68,115,7.5
2300,23,6000,2500,62,109,7
2300,23,6000,2400,56,103,6.5
2300,23,6000,2300,50,97,6.1
2300,23,6000,2200,45,91,5.8
2300,-21,8000,2700,80,120,8.8
2300,-21,8000,2600,72,116,8
2300,-21,8000,2500,65,111,7.3
2300,-21,8000,2400,59,105,6.8
2300,-21,8000,2300,54,99,6.4
2300,-21,8000,2200,48,93,6
2300,-1,8000,2700,75,120,8.3
2300,-1,8000,2600,68,115,7.5
2300,-1,8000,2500,62,109,7
2300,-1,8000,2400,56,103,6.6
2300,-1,8000,2300,51,97,6.2
2300,-1,8000,2200,45,91,5.8
2300,19,8000,2700,71,120,7.8
2300,19,8000,2600,65,114,7.3
2300,19,8000,2500,59,108,6.8
2300,19,8000,2400,53,101,6.3
2300,19,8000,2300,48,96,6
2300,19,8000,2200,43,90,5.7
2300,-25,10000,2700,76,120,8.4
2300,-25,10000,2600,69,115,7.6
2300,-25,10000,2500,63,110,7.1
2300,-25,10000,2400,57,104,6.6
2300,-25,10000,2300,51,97,6.2
2300,-25,10000,2200,46,92,5.8
2300,-5,10000,2700,72,120,7.9
2300,-5,10000,2600,65,114,7.3
2300,-5,10000,2500,59,108,6.8
2300,-5,10000,2400,54,102,6.4
2300,-5,10000,2300,48,96,6
2300,-5,10000,2200,43,90,5.7
2300,15,10000,2700,68,119,7.6
2300,15,10000,2600,62,112,7
2300,15,10000,2500,56,106,6.6
2300,15,10000,2400,51,100,6.2
2300,15,10000,2300,46,95,5.8
2300,15,10000,2200,41,89,5.5
2300,-29,12000,2650,69,117,7.6
2300,-29,12000,2600,66,114,7.4
2300,-29,12000,2500,60,108,6.8
2300,-29,12000,2400,54,102,6.4
2300,-29,12000,2300,49,96,6
2300,-29,12000,2200,44,91,5.7
2300,-9,12000,2650,65,116,7.3
2300,-9,12000,2600,62,113,7
2300,-9,12000,2500,57,106,6.6
2300,-9,12000,2400,51,100,6.2
2300,-9,12000,2300,46,95,5.9
2300,-9,12000,2200,41,89,5.5
2300,11,12000,2650,62,114,7
2300,11,12000,2600,59,111,6.8
2300,11,12000,2500,54,105,6.4
2300,11,12000,2400,49,99,6
2300,11,12000,2300,43,94,5.7
2300,11,12000,2200,38,88,5.3